mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1.7993346850077312,0.31382664091533263,0.030330340067545574,0.007356472709563023,0.8123620356542087,0.5704285838459496,0.0639196365086843,3,5,0.04680559213273095,0.6559945203362026,0.7174250836504598,"{'colsample_bytree': np.float64(0.8123620356542087), 'gamma': np.float64(0.5704285838459496), 'learning_rate': np.float64(0.0639196365086843), 'max_depth': 3, 'min_child_weight': 5, 'reg_alpha': np.float64(0.04680559213273095), 'reg_lambda': np.float64(0.6559945203362026), 'subsample': np.float64(0.7174250836504598)}",-437.0003612790789,-68.13723232245495,-54.51730997127663,-186.55163452427018,177.18126146415082,7,-9.112340911095883,-6.896176154460382,-22.762617773799054,-12.92371161311844,7.015739561212704
2.0706938902537027,0.016990808167876778,0.024457852045694988,0.010171975215884964,0.9598528437324805,0.36066900704592525,0.062484354667762726,4,5,0.29097295564859826,1.3324426408004217,0.7637017332034828,"{'colsample_bytree': np.float64(0.9598528437324805), 'gamma': np.float64(0.36066900704592525), 'learning_rate': np.float64(0.062484354667762726), 'max_depth': 4, 'min_child_weight': 5, 'reg_alpha': np.float64(0.29097295564859826), 'reg_lambda': np.float64(1.3324426408004217), 'subsample': np.float64(0.7637017332034828)}",-446.6382934297834,-66.42996932761336,-47.18604516950004,-186.75143597563226,183.93561584115332,8,-6.147524344820936,-5.663145257792341,-16.57736803166359,-9.462679211425622,5.0347296207841525
1.7897215684254963,0.21271634474085818,0.029670079549153645,0.011799281202865343,0.7545474901621302,0.11004270591206029,0.03825453457757226,4,5,0.12958350559263473,0.7912291401980419,0.8835558684167137,"{'colsample_bytree': np.float64(0.7545474901621302), 'gamma': np.float64(0.11004270591206029), 'learning_rate': np.float64(0.03825453457757226), 'max_depth': 4, 'min_child_weight': 5, 'reg_alpha': np.float64(0.12958350559263473), 'reg_lambda': np.float64(0.7912291401980419), 'subsample': np.float64(0.8835558684167137)}",-443.08842544555665,-77.9115556966738,-58.45684874745989,-193.15227662989676,176.9099210883375,9,-11.059794962907038,-8.936279121888887,-24.164326203396044,-14.720133429397322,6.734088047444434
2.0279617309570312,0.24191715411468426,0.020594358444213867,0.003754045194037209,0.7418481581956125,0.17528678912113088,0.0419817105976215,4,3,0.11473859738014881,1.4832308858067882,0.8400288679743939,"{'colsample_bytree': np.float64(0.7418481581956125), 'gamma': np.float64(0.17528678912113088), 'learning_rate': np.float64(0.0419817105976215), 'max_depth': 4, 'min_child_weight': 3, 'reg_alpha': np.float64(0.11473859738014881), 'reg_lambda': np.float64(1.4832308858067882), 'subsample': np.float64(0.8400288679743939)}",-366.1157140459333,-84.08776319349134,-62.73285351094511,-170.9787769167899,138.25779355005602,3,-5.641032178862756,-5.433987713735038,-17.86881688368847,-9.647945592095422,5.81364833515863
0.6726932525634766,0.06855143644021013,0.02001667022705078,0.009316996411516584,0.9579821220208962,0.4081845231526678,0.04702995511817258,4,4,0.28266052670545583,1.0632882178455394,0.8156249507619748,"{'colsample_bytree': np.float64(0.9579821220208962), 'gamma': np.float64(0.4081845231526678), 'learning_rate': np.float64(0.04702995511817258), 'max_depth': 4, 'min_child_weight': 4, 'reg_alpha': np.float64(0.28266052670545583), 'reg_lambda': np.float64(1.0632882178455394), 'subsample': np.float64(0.8156249507619748)}",-363.84529487064907,-67.7008366654172,-48.224415650072785,-159.923515728713,144.41353064539152,2,-6.030240868319984,-5.1360518079285225,-17.194330855306372,-9.45354117718496,5.48572463457741
1.0436173280080159,0.29347865455613675,0.018433014551798504,0.0031298810511940036,0.7047898756660642,0.1385362953732894,0.034461527961560705,6,4,0.14855307303338106,0.5343885211152184,0.9727961206236346,"{'colsample_bytree': np.float64(0.7047898756660642), 'gamma': np.float64(0.1385362953732894), 'learning_rate': np.float64(0.034461527961560705), 'max_depth': 6, 'min_child_weight': 4, 'reg_alpha': np.float64(0.14855307303338106), 'reg_lambda': np.float64(0.5343885211152184), 'subsample': np.float64(0.9727961206236346)}",-418.1847108840942,-99.94423143382875,-77.93709995414793,-198.688680757357,155.46695016420512,10,-3.4552661030232406,-3.525108127419008,-10.214152482140017,-5.731508904194089,3.1698359118696593
0.772856871287028,0.23828310461929628,0.016074736913045246,0.0007411977282462123,0.777633994480005,0.39751337061238917,0.038702664565364656,4,2,0.17031009834599745,0.5313132924555586,0.9526854323784995,"{'colsample_bytree': np.float64(0.777633994480005), 'gamma': np.float64(0.39751337061238917), 'learning_rate': np.float64(0.038702664565364656), 'max_depth': 4, 'min_child_weight': 2, 'reg_alpha': np.float64(0.17031009834599745), 'reg_lambda': np.float64(0.5313132924555586), 'subsample': np.float64(0.9526854323784995)}",-319.94255352020264,-70.22662890428317,-58.967774732026854,-149.7123190521709,120.45867893071282,1,-1.016243622082622,-1.7656252099833358,-9.223908292720596,-4.001925708262185,3.7051513487181023
0.8129191398620605,0.23720453313459325,0.015811999638875324,0.0026636905166821188,0.8349262400109296,0.23709014160108866,0.07559953194762765,5,4,0.01356818667316142,0.8253303307632643,0.8166031869068445,"{'colsample_bytree': np.float64(0.8349262400109296), 'gamma': np.float64(0.23709014160108866), 'learning_rate': np.float64(0.07559953194762765), 'max_depth': 5, 'min_child_weight': 4, 'reg_alpha': np.float64(0.01356818667316142), 'reg_lambda': np.float64(0.8253303307632643), 'subsample': np.float64(0.8166031869068445)}",-384.67296534946985,-70.57515224052318,-62.688299994186025,-172.64547252805968,149.96064793513605,4,-0.8509263751887474,-0.7079055156182805,-4.180972646996678,-1.913268179267902,1.6045718860568088
0.8690222104390463,0.2636786292912502,0.01567236582438151,0.0034375740521556753,0.7814047095321688,0.49724250549115756,0.04140519960161536,6,4,0.16280882494747453,0.6409242249747626,0.9406590942262119,"{'colsample_bytree': np.float64(0.7814047095321688), 'gamma': np.float64(0.49724250549115756), 'learning_rate': np.float64(0.04140519960161536), 'max_depth': 6, 'min_child_weight': 4, 'reg_alpha': np.float64(0.16280882494747453), 'reg_lambda': np.float64(0.6409242249747626), 'subsample': np.float64(0.9406590942262119)}",-402.99415710994174,-77.83885402243251,-72.43544152434339,-184.42281755223925,154.56901818431035,5,-2.511928590405889,-2.116484755769782,-8.857723170016186,-4.495378838730619,3.0888649485004915
0.8681641419728597,0.25783566557368837,0.01631005605061849,0.0025921728008814855,0.7223651931039312,0.5921321619603104,0.06633468615779944,6,3,0.059652721226641545,1.21134195274865,0.9370526621593617,"{'colsample_bytree': np.float64(0.7223651931039312), 'gamma': np.float64(0.5921321619603104), 'learning_rate': np.float64(0.06633468615779944), 'max_depth': 6, 'min_child_weight': 3, 'reg_alpha': np.float64(0.059652721226641545), 'reg_lambda': np.float64(1.21134195274865), 'subsample': np.float64(0.9370526621593617)}",-368.9341272626604,-101.91029343634781,-82.82452406864806,-184.5563149225521,130.6074268194128,6,-0.34188381163012077,-0.3740663440949326,-1.7270639100706722,-0.8143380219319085,0.645528382545639
